"g1_1","g1_2","g1_3","g1_4","g1_5","g1_6","g1_7","g1_8","g1_9","g1_10","g1_11","g1_12","g1_13","g1_14","g1_15","g1_16","g1_17","g1_18","g1_19","g1_20","g1_21","g2_1","g2_2","g2_3","g2_4","g2_5","g2_6","g2_7","g2_8","g2_9","g2_10","g2_11","g2_12","g2_13","g2_14","g2_15","g2_16","g2_17","g2_18","g2_19","g2_20","g2_21","c_1","c_2","c_3","c_4","c_5","c_6","c_7","c_8","c_9","c_10","c_11","c_12","c_13","c_14","c_15","c_16","c_17","c_18","c_19","c_20","c_21","c_22","c_23","c_24","c_25","c_26","c_27","c_28","target"
4.5,1,3,4,5,1,1,4,6,0,-2,-2,2.50503188186928,2.55140637637386,6.24,3.608,0.744,1.216,0.0030780092997085,0.00302755474537581,0.578205128205128,1.83,6,0,6,7,4,0,0,1,4,-1,3,2.88873636831276,2.61685509259259,5.552,0.728,0.16,0.00299368562550224,0.00295280415237345,0.586148648648649,3.5,1.97,-1,7,6,0,0,0,1,3.22360538038653,1,-3,-2,0,1,4,2,1,-6,-5,-0.383704486443473,-0.0654487162187358,0.584,0.488,0,-3.232,-1.944,-0.00794352044352054,1.76,"2"
2.2,24,22,46,10,24,28,18,22,-4,-4,-8,3.71898291244745,3.8822710772829,7.42343542713074,5.04803008406368,0.836177765560544,1.97524381102885,0.784881740006152,0.0194482147453854,0.680012661740741,2.8,34,14,48,10,25,16,16,24,9,-8,1,4.0658219146389,4.04201481193176,6.369384584341,1.51170354911528,1.78379130711118,0.784881740006152,0.0333732699603261,0.498948740204992,3.25,1.85,2,1,3,0,0,0,0,1.54103910370114,10,-12,-2,0,12,2,-3,4,-13,-9,-0.346839002191448,-0.159743734648865,-0.947613541550632,0.463540261913567,0,-5.34217368478755,-1.32135450027731,0.181063921535749,1.85,"1"
12,7,4,11,18,8,11,2,10,-3,-8,-11,2.24454964337361,2.45808650565978,11.09139881984,5.853004537856,0.73004597248,2.022004486144,0.0439369336234074,0.0142642339089993,0.527706615993855,1.3,11,18,29,2,13,3,16,1,10,15,25,4.91848346095433,4.05038905808277,10.029407883264,2.489173794816,0.2047410176,0.0222468343798347,0.0420035979034456,0.567983544115151,5,1.7,-5,10,5,0,0,0,1,2.04902369124517,-11,-7,-18,7,-5,-1,-3,-18,-18,-36,-2.67393381758072,-1.59230255242299,0.52530495488,-0.467169308672,0,-6.566521004032,-4.176403345408,-0.0402769281212962,2.05,"2"
1.91,8,5,13,14,6,7,6,9,-1,-3,-4,2.58019025648288,2.68309163553086,9.864426258432,2.58235686912,0.656637820928,1.407548755968,0.0415625583957903,0.0213864015611571,0.261784801413324,4.5,5,3,8,17,5,9,7,16,-4,-9,-13,1.96416321358757,2.27814678899195,3.369489174528,0.6655852544,2.163560894464,0.0439369336234074,0.0103579597176137,0.273885515916498,3.6,1.98,-1,3,2,0,0,0,0,2.28450295706287,5,0,5,-10,0,-3,4,8,1,9,0.616027042895308,0.404944846538913,-1.506923073536,0.741963501568,0,-2.438119800832,-0.787132305407999,-0.012100714503174,1.82,"0"
2.5,23,16,39,14,33,25,18,27,8,-9,-1,3.470616676141,3.05598941798313,11.6729615883946,4.55456031843737,1.89573952564429,1.23712228861548,0.941241476372714,6.22096764738385e-05,0.390180356882657,3,29,23,52,8,31,22,21,23,9,-2,7,4.52783099753189,4.21528375573295,4.49498638251106,1.41917430635738,1.14472783127683,0.364775850513967,0.00814785969767999,0.347567790616997,3.4,1.8,-3,2,-1,1,0,0,0,2.64841771456279,0,-13,-13,10,4,-4,-4,10,-18,-8,-1.05721432139089,-1.15929433774982,0.751011694367468,-0.182052017741896,0,-1.25972810224566,0.0595739359263057,0.04261256626566,1.99,"2"
1.8,21,12,33,13,18,19,9,20,-1,-11,-12,3.00739120886142,2.84592737107652,8.12821972135279,2.51295049327289,0.740087406878805,1.25775191327627,0.660248573145835,0.00640933344625638,0.309163701206475,4.5,19,3,22,19,21,22,10,32,-1,-22,-23,1.9206249458932,2.11017587177713,3.52474292423396,0.994413786298054,1.94974365294802,0.740406769306193,3.13592900954729e-05,0.257984082575591,3.5,2.1,1,0,1,0,0,0,0,1.99966762210348,18,-7,11,-14,9,-13,-1,21,-10,11,1.08676626296822,0.735751499299387,-1.20965624606921,0.263338126978215,0,-5.53441748108463,-1.01179243096107,0.0511796186308838,1.73,"2"
1.8,12,19,31,16,20,26,21,20,-6,1,-5,3.22463346319696,3.00320133963404,13.1555545762904,6.38612888299208,1.30487138335014,1.34346909547088,0.716133348178816,2.90933771219625e-05,0.485432130280657,4.333,23,4,27,18,24,15,6,29,9,-23,-14,2.41593256518718,2.38496387687351,5.4417072128,0.633225728,1.3259665408,0.703807779914816,4.43936149186516e-06,0.541100867151515,3.4,1.9,3,-1,2,1,0,0,0,3.26026735630194,8,-4,4,-9,20,6,-4,17,-8,9,0.808700898009782,0.61823746276053,-0.0210951574498597,0.710243367470881,0,3.09882108509037,0.944421670192082,-0.0556687368708577,1.79,"2"
2.5,19,12,31,19,14,18,14,23,-4,-9,-13,2.88328863453566,2.90303630014272,8.32337005812036,3.86719356530527,0.8981266474825,1.67156727558534,0.723632058533721,0.0043394832707389,0.464618722741084,2.88,29,11,40,8,28,19,14,21,9,-7,2,3.82372479461808,3.54525906772695,7.1134242985153,1.44902691415352,1.37374237690924,0.61254131309377,0.0515604692451142,0.552544479628326,3.25,2.15,3,3,6,0,0,0,0,1.29076677378138,8,-17,-9,-7,4,-5,-5,3,-18,-15,-0.940436160082421,-0.64222276758423,-0.475615729426736,0.222540361431827,0,-4.55056961692663,-3.24623073321003,-0.0879257568872416,1.68,"1"
6,17,10,27,8,13,6,14,15,7,-1,6,3.67074531725412,3.45811417118509,13.3675136852702,7.18405372629536,2.08081473438613,1.77329996538315,0.108052410313399,0.0146253347095942,0.537426322907868,1.57,30,19,49,1,26,6,14,3,20,11,31,5,4.80721763346769,8.41259673313896,2.07200221041499,0.635367563264,0.00722650328137646,0.164474456577155,0.603107424485933,3.6,2,0,8,8,0,0,0,1,2.83585931217418,-2,-20,-22,10,-8,8,-11,-4,-21,-25,-1.32925468274588,-1.3491034622826,1.44544717112213,-0.298702245031838,0,-0.581239706896303,-1.2285430068436,-0.0656811015780653,1.72,"2"
2.25,14,8,22,4,11,5,8,9,6,-1,5,3.49032325930229,3.17331903253641,11.473104728064,6.381948370944,1.370560679936,0.993092767744,0.0266490973363555,0.031904762042608,0.556252951769307,3.1,14,4,18,9,12,3,5,10,9,-5,4,3.14898014697974,2.8087057248744,5.90671489024,1.537828302848,0.86569033728,0.0370628970651166,0.0239928358367092,0.598966798279454,3.2,1.95,-1,2,1,0,0,0,0,1.25357859142417,10,-6,4,1,0,5,-3,11,-10,1,0.341343112322555,0.364613307662006,0.504870342656,-0.544735535104,0,1.61159836876801,0.475233480704,-0.0427138465101466,1.75,"2"
